image_id,label,variety,age,label_enc,kfold
103496.jpg,hispa,Ponni,60,7,0
100668.jpg,dead_heart,ADT45,67,5,0
107497.jpg,normal,ADT45,60,8,0
104698.jpg,dead_heart,ADT45,65,5,0
102044.jpg,blast,ADT45,77,3,0
109095.jpg,brown_spot,ADT45,72,4,0
100153.jpg,normal,ADT45,70,8,0
107312.jpg,dead_heart,Ponni,80,5,0
105292.jpg,tungro,ADT45,60,9,0
110362.jpg,blast,KarnatakaPonni,75,3,0
107891.jpg,normal,ADT45,60,8,0
108385.jpg,normal,ADT45,60,8,0
100804.jpg,hispa,ADT45,70,7,0
105604.jpg,blast,ADT45,70,3,0
104702.jpg,bacterial_leaf_blight,ADT45,50,0,0
107765.jpg,normal,ADT45,60,8,0
100806.jpg,blast,KarnatakaPonni,75,3,0
106135.jpg,hispa,AtchayaPonni,65,7,0
103037.jpg,brown_spot,ADT45,55,4,0
108160.jpg,normal,ADT45,60,8,0
109368.jpg,brown_spot,ADT45,50,4,0
107359.jpg,brown_spot,ADT45,55,4,0
108441.jpg,hispa,ADT45,50,7,0
107820.jpg,tungro,ADT45,55,9,0
100920.jpg,normal,ADT45,60,8,0
101719.jpg,dead_heart,ADT45,70,5,0
100601.jpg,bacterial_panicle_blight,AndraPonni,65,2,0
104845.jpg,dead_heart,ADT45,72,5,0
104190.jpg,downy_mildew,ADT45,60,6,0
106103.jpg,hispa,ADT45,50,7,0
100452.jpg,dead_heart,ADT45,70,5,0
106765.jpg,hispa,ADT45,70,7,0
102021.jpg,dead_heart,ADT45,75,5,0
108284.jpg,normal,ADT45,70,8,0
100344.jpg,normal,ADT45,50,8,0
101352.jpg,dead_heart,Onthanel,50,5,0
107560.jpg,dead_heart,Onthanel,50,5,0
104816.jpg,tungro,ADT45,70,9,0
104894.jpg,hispa,AndraPonni,65,7,0
101353.jpg,brown_spot,ADT45,55,4,0
104543.jpg,blast,ADT45,70,3,0
110263.jpg,tungro,ADT45,60,9,0
106547.jpg,brown_spot,KarnatakaPonni,70,4,0
105787.jpg,brown_spot,ADT45,55,4,0
106481.jpg,dead_heart,ADT45,75,5,0
105135.jpg,tungro,ADT45,67,9,0
109666.jpg,bacterial_leaf_blight,Ponni,47,0,0
108590.jpg,dead_heart,Ponni,80,5,0
103791.jpg,bacterial_leaf_streak,KarnatakaPonni,50,1,0
110148.jpg,downy_mildew,ADT45,70,6,0
109758.jpg,dead_heart,ADT45,67,5,0
105736.jpg,normal,Ponni,60,8,0
102460.jpg,dead_heart,ADT45,65,5,0
101861.jpg,downy_mildew,ADT45,60,6,0
102063.jpg,brown_spot,ADT45,50,4,0
106445.jpg,tungro,ADT45,70,9,0
101901.jpg,dead_heart,ADT45,70,5,0
104619.jpg,hispa,ADT45,50,7,0
104314.jpg,blast,ADT45,67,3,0
102788.jpg,tungro,ADT45,45,9,0
100597.jpg,blast,KarnatakaPonni,50,3,0
104337.jpg,normal,ADT45,75,8,0
101561.jpg,hispa,AtchayaPonni,65,7,0
103058.jpg,normal,ADT45,60,8,0
104311.jpg,dead_heart,ADT45,70,5,0
102508.jpg,downy_mildew,ADT45,70,6,0
104760.jpg,blast,ADT45,67,3,0
106451.jpg,blast,Ponni,55,3,0
103376.jpg,blast,ADT45,50,3,0
103418.jpg,normal,ADT45,60,8,0
106711.jpg,normal,ADT45,60,8,0
101916.jpg,hispa,ADT45,70,7,0
100675.jpg,dead_heart,ADT45,70,5,0
102977.jpg,tungro,ADT45,60,9,0
108423.jpg,tungro,ADT45,72,9,0
103701.jpg,normal,ADT45,70,8,0
109510.jpg,blast,Zonal,70,3,0
107062.jpg,hispa,ADT45,70,7,0
109903.jpg,blast,ADT45,67,3,0
108008.jpg,normal,ADT45,70,8,0
100532.jpg,brown_spot,ADT45,72,4,0
108941.jpg,blast,KarnatakaPonni,75,3,0
105591.jpg,bacterial_leaf_streak,ADT45,60,1,0
102089.jpg,downy_mildew,AtchayaPonni,45,6,0
102032.jpg,downy_mildew,AtchayaPonni,45,6,0
106968.jpg,tungro,ADT45,45,9,0
103250.jpg,downy_mildew,Onthanel,70,6,0
102099.jpg,hispa,ADT45,60,7,0
107851.jpg,normal,Ponni,60,8,0
108355.jpg,normal,ADT45,60,8,0
101746.jpg,hispa,ADT45,65,7,0
109817.jpg,brown_spot,ADT45,55,4,0
105724.jpg,tungro,ADT45,67,9,0
107172.jpg,blast,KarnatakaPonni,75,3,0
107267.jpg,normal,ADT45,67,8,0
109052.jpg,hispa,ADT45,60,7,0
100224.jpg,dead_heart,ADT45,80,5,0
103107.jpg,bacterial_leaf_blight,ADT45,70,0,0
103293.jpg,blast,Zonal,70,3,0
105277.jpg,blast,ADT45,70,3,0
102025.jpg,normal,ADT45,60,8,0
102877.jpg,blast,KarnatakaPonni,75,3,0
105436.jpg,hispa,ADT45,70,7,0
101950.jpg,hispa,ADT45,72,7,0
107442.jpg,normal,ADT45,60,8,0
110105.jpg,downy_mildew,ADT45,55,6,0
100659.jpg,tungro,ADT45,70,9,0
100822.jpg,dead_heart,Onthanel,50,5,0
105870.jpg,blast,ADT45,70,3,0
109126.jpg,dead_heart,KarnatakaPonni,75,5,0
102102.jpg,blast,KarnatakaPonni,75,3,0
105058.jpg,tungro,ADT45,70,9,0
107913.jpg,bacterial_panicle_blight,Ponni,80,2,0
108993.jpg,bacterial_panicle_blight,ADT45,70,2,0
105072.jpg,tungro,ADT45,57,9,0
109333.jpg,normal,ADT45,70,8,0
109552.jpg,brown_spot,ADT45,68,4,0
104997.jpg,bacterial_leaf_blight,ADT45,55,0,0
101482.jpg,tungro,ADT45,70,9,0
108782.jpg,hispa,ADT45,60,7,0
105897.jpg,brown_spot,ADT45,72,4,0
103629.jpg,bacterial_leaf_blight,ADT45,72,0,0
102411.jpg,normal,ADT45,60,8,0
101518.jpg,hispa,ADT45,50,7,0
101592.jpg,bacterial_panicle_blight,ADT45,67,2,0
104588.jpg,hispa,ADT45,70,7,0
110406.jpg,blast,ADT45,50,3,0
103837.jpg,blast,Ponni,47,3,0
102078.jpg,bacterial_panicle_blight,ADT45,70,2,0
106333.jpg,normal,ADT45,60,8,0
106369.jpg,dead_heart,ADT45,72,5,0
100887.jpg,downy_mildew,ADT45,60,6,0
104765.jpg,tungro,ADT45,70,9,0
105720.jpg,dead_heart,ADT45,75,5,0
103017.jpg,hispa,ADT45,55,7,0
105422.jpg,brown_spot,ADT45,70,4,0
103355.jpg,bacterial_leaf_blight,ADT45,72,0,0
108987.jpg,blast,ADT45,50,3,0
108014.jpg,blast,KarnatakaPonni,75,3,0
100212.jpg,bacterial_leaf_streak,ADT45,60,1,0
102260.jpg,hispa,AtchayaPonni,65,7,0
107770.jpg,tungro,ADT45,72,9,0
106559.jpg,downy_mildew,ADT45,60,6,0
104750.jpg,brown_spot,ADT45,72,4,0
103591.jpg,dead_heart,ADT45,75,5,0
105683.jpg,hispa,Onthanel,70,7,0
103006.jpg,normal,ADT45,60,8,0
107738.jpg,downy_mildew,ADT45,70,6,0
103606.jpg,bacterial_leaf_blight,ADT45,55,0,0
106338.jpg,downy_mildew,AtchayaPonni,45,6,0
107361.jpg,brown_spot,ADT45,50,4,0
106293.jpg,dead_heart,ADT45,70,5,0
104075.jpg,bacterial_panicle_blight,Ponni,80,2,0
102830.jpg,dead_heart,ADT45,67,5,0
104169.jpg,normal,ADT45,60,8,0
106035.jpg,normal,ADT45,70,8,0
100607.jpg,tungro,ADT45,72,9,0
105350.jpg,normal,ADT45,60,8,0
105286.jpg,hispa,Zonal,70,7,0
107659.jpg,blast,ADT45,65,3,0
109879.jpg,normal,ADT45,70,8,0
102532.jpg,blast,ADT45,60,3,0
106152.jpg,normal,RR,70,8,0
101160.jpg,blast,KarnatakaPonni,75,3,0
101787.jpg,dead_heart,ADT45,65,5,0
103344.jpg,bacterial_leaf_blight,ADT45,72,0,0
104207.jpg,downy_mildew,KarnatakaPonni,50,6,0
102193.jpg,downy_mildew,Onthanel,70,6,0
103806.jpg,blast,ADT45,70,3,0
110249.jpg,normal,ADT45,60,8,0
104735.jpg,hispa,AndraPonni,65,7,0
100411.jpg,downy_mildew,Zonal,55,6,0
100535.jpg,tungro,ADT45,67,9,0
102903.jpg,hispa,ADT45,45,7,0
106986.jpg,tungro,ADT45,60,9,0
108671.jpg,hispa,ADT45,50,7,0
100372.jpg,hispa,Onthanel,70,7,0
103117.jpg,hispa,KarnatakaPonni,70,7,0
100863.jpg,brown_spot,ADT45,45,4,0
104928.jpg,tungro,ADT45,72,9,0
104560.jpg,brown_spot,ADT45,70,4,0
108811.jpg,dead_heart,Onthanel,50,5,0
101325.jpg,tungro,ADT45,72,9,0
110229.jpg,brown_spot,ADT45,70,4,0
102922.jpg,blast,AndraPonni,45,3,0
110306.jpg,blast,Zonal,70,3,0
101720.jpg,dead_heart,ADT45,72,5,0
104089.jpg,normal,ADT45,60,8,0
106195.jpg,hispa,AndraPonni,65,7,0
108934.jpg,dead_heart,ADT45,72,5,0
106158.jpg,brown_spot,ADT45,45,4,0
102313.jpg,brown_spot,ADT45,72,4,0
107469.jpg,brown_spot,ADT45,50,4,0
107245.jpg,blast,ADT45,67,3,0
103723.jpg,normal,ADT45,75,8,0
104246.jpg,tungro,ADT45,60,9,0
108478.jpg,normal,ADT45,70,8,0
103871.jpg,normal,ADT45,70,8,0
100357.jpg,tungro,ADT45,70,9,0
104174.jpg,dead_heart,IR20,70,5,0
100846.jpg,tungro,ADT45,60,9,0
107461.jpg,hispa,ADT45,70,7,0
103719.jpg,brown_spot,ADT45,55,4,0
103011.jpg,normal,ADT45,50,8,0
101786.jpg,bacterial_leaf_streak,ADT45,55,1,0
102579.jpg,dead_heart,ADT45,72,5,0
102925.jpg,downy_mildew,ADT45,70,6,0
102807.jpg,hispa,ADT45,50,7,0
105805.jpg,normal,Ponni,60,8,0
106577.jpg,dead_heart,ADT45,80,5,0
109292.jpg,normal,ADT45,60,8,0
103100.jpg,downy_mildew,ADT45,70,6,0
104458.jpg,bacterial_leaf_blight,ADT45,55,0,0
107393.jpg,brown_spot,ADT45,55,4,0
106883.jpg,tungro,ADT45,45,9,0
107265.jpg,blast,AndraPonni,45,3,0
105919.jpg,downy_mildew,ADT45,70,6,0
101263.jpg,blast,ADT45,70,3,0
101656.jpg,normal,ADT45,57,8,0
105567.jpg,hispa,Zonal,70,7,0
100810.jpg,normal,ADT45,60,8,0
110018.jpg,dead_heart,RR,70,5,0
105708.jpg,hispa,ADT45,50,7,0
106044.jpg,blast,ADT45,70,3,0
100856.jpg,blast,KarnatakaPonni,75,3,0
100448.jpg,normal,Ponni,60,8,0
109114.jpg,tungro,ADT45,70,9,0
105830.jpg,brown_spot,ADT45,45,4,0
102457.jpg,blast,ADT45,70,3,0
104157.jpg,brown_spot,ADT45,55,4,0
109107.jpg,hispa,AtchayaPonni,65,7,0
107546.jpg,hispa,AtchayaPonni,65,7,0
107946.jpg,dead_heart,ADT45,75,5,0
100805.jpg,blast,KarnatakaPonni,75,3,0
102542.jpg,brown_spot,ADT45,70,4,0
101857.jpg,bacterial_leaf_blight,Ponni,47,0,0
101860.jpg,normal,Ponni,60,8,0
101230.jpg,tungro,ADT45,60,9,0
103251.jpg,blast,ADT45,70,3,0
101505.jpg,downy_mildew,KarnatakaPonni,70,6,0
108216.jpg,downy_mildew,ADT45,70,6,0
107123.jpg,blast,ADT45,60,3,0
103498.jpg,brown_spot,ADT45,50,4,0
109105.jpg,dead_heart,ADT45,67,5,0
103451.jpg,tungro,ADT45,57,9,0
103341.jpg,blast,ADT45,70,3,0
108278.jpg,tungro,AtchayaPonni,50,9,0
106956.jpg,normal,ADT45,50,8,0
108992.jpg,hispa,Ponni,60,7,0
100758.jpg,blast,ADT45,45,3,0
110233.jpg,dead_heart,ADT45,75,5,0
101948.jpg,hispa,Onthanel,70,7,0
101910.jpg,blast,AtchayaPonni,50,3,0
104226.jpg,blast,IR20,50,3,0
103525.jpg,blast,AndraPonni,45,3,0
105564.jpg,bacterial_leaf_streak,ADT45,55,1,0
104388.jpg,normal,Ponni,55,8,0
109472.jpg,bacterial_panicle_blight,ADT45,68,2,0
110227.jpg,normal,Ponni,55,8,0
109875.jpg,brown_spot,ADT45,70,4,0
101989.jpg,blast,ADT45,55,3,0
101320.jpg,bacterial_leaf_streak,Zonal,70,1,0
108957.jpg,hispa,ADT45,70,7,0
109852.jpg,normal,Ponni,60,8,0
102204.jpg,normal,ADT45,50,8,0
106706.jpg,blast,ADT45,70,3,0
103691.jpg,dead_heart,ADT45,67,5,0
108360.jpg,normal,ADT45,50,8,0
103607.jpg,dead_heart,ADT45,70,5,0
102752.jpg,hispa,Onthanel,70,7,0
105607.jpg,hispa,ADT45,68,7,0
109047.jpg,hispa,AtchayaPonni,65,7,0
108005.jpg,bacterial_leaf_blight,Ponni,47,0,0
100241.jpg,tungro,ADT45,57,9,0
105925.jpg,blast,AndraPonni,45,3,0
104954.jpg,brown_spot,ADT45,68,4,0
107681.jpg,normal,ADT45,70,8,0
104621.jpg,bacterial_leaf_streak,Zonal,70,1,0
103225.jpg,blast,KarnatakaPonni,75,3,0
109836.jpg,normal,Ponni,60,8,0
105616.jpg,normal,ADT45,60,8,0
105850.jpg,bacterial_leaf_streak,ADT45,68,1,0
106747.jpg,blast,ADT45,70,3,0
101515.jpg,hispa,AtchayaPonni,65,7,0
108859.jpg,dead_heart,IR20,70,5,0
105526.jpg,blast,KarnatakaPonni,75,3,0
104635.jpg,bacterial_leaf_blight,ADT45,72,0,0
107329.jpg,dead_heart,ADT45,70,5,0
103476.jpg,brown_spot,ADT45,50,4,0
101595.jpg,hispa,ADT45,50,7,0
107809.jpg,dead_heart,ADT45,70,5,0
103492.jpg,brown_spot,KarnatakaPonni,75,4,0
100459.jpg,hispa,ADT45,68,7,0
102062.jpg,bacterial_leaf_blight,ADT45,55,0,0
100021.jpg,tungro,ADT45,60,9,0
109767.jpg,dead_heart,ADT45,70,5,0
106304.jpg,hispa,Zonal,70,7,0
103217.jpg,bacterial_leaf_streak,Zonal,70,1,0
107215.jpg,blast,ADT45,50,3,0
106028.jpg,bacterial_leaf_blight,ADT45,55,0,0
107003.jpg,normal,ADT45,60,8,0
106365.jpg,dead_heart,ADT45,70,5,0
102031.jpg,hispa,ADT45,68,7,0
102968.jpg,hispa,ADT45,70,7,0
100922.jpg,bacterial_panicle_blight,ADT45,70,2,0
107748.jpg,tungro,ADT45,45,9,0
105342.jpg,blast,ADT45,70,3,0
106309.jpg,hispa,AtchayaPonni,65,7,0
100753.jpg,blast,IR20,50,3,0
105374.jpg,bacterial_leaf_blight,ADT45,72,0,0
105398.jpg,hispa,ADT45,50,7,0
108742.jpg,blast,ADT45,70,3,0
100041.jpg,brown_spot,ADT45,72,4,0
102992.jpg,brown_spot,ADT45,72,4,0
106306.jpg,blast,KarnatakaPonni,75,3,0
108076.jpg,bacterial_leaf_streak,ADT45,60,1,0
107706.jpg,tungro,ADT45,70,9,0
103084.jpg,brown_spot,ADT45,55,4,0
101258.jpg,downy_mildew,ADT45,60,6,0
100126.jpg,bacterial_leaf_blight,ADT45,72,0,0
103073.jpg,tungro,ADT45,57,9,0
109406.jpg,tungro,AtchayaPonni,50,9,0
100899.jpg,blast,KarnatakaPonni,75,3,0
104546.jpg,normal,Ponni,60,8,0
107280.jpg,normal,ADT45,60,8,0
107595.jpg,brown_spot,ADT45,55,4,0
107256.jpg,blast,Zonal,70,3,0
106462.jpg,blast,Zonal,70,3,0
108722.jpg,blast,KarnatakaPonni,75,3,0
104108.jpg,bacterial_leaf_blight,ADT45,50,0,0
110161.jpg,hispa,AtchayaPonni,65,7,0
106491.jpg,hispa,ADT45,45,7,0
100160.jpg,brown_spot,ADT45,70,4,0
102958.jpg,blast,KarnatakaPonni,75,3,0
102825.jpg,hispa,AndraPonni,65,7,0
103193.jpg,brown_spot,ADT45,70,4,0
104818.jpg,brown_spot,ADT45,70,4,0
103302.jpg,normal,ADT45,67,8,0
101177.jpg,downy_mildew,AtchayaPonni,45,6,0
102688.jpg,normal,ADT45,70,8,0
104299.jpg,dead_heart,KarnatakaPonni,75,5,0
105401.jpg,hispa,ADT45,68,7,0
109791.jpg,tungro,ADT45,70,9,0
105260.jpg,dead_heart,ADT45,70,5,0
101040.jpg,tungro,Ponni,45,9,0
108507.jpg,downy_mildew,Surya,45,6,0
110223.jpg,hispa,AtchayaPonni,65,7,0
103395.jpg,hispa,AtchayaPonni,65,7,0
108245.jpg,tungro,ADT45,70,9,0
105728.jpg,hispa,ADT45,70,7,0
107574.jpg,normal,ADT45,57,8,0
105939.jpg,blast,KarnatakaPonni,75,3,0
106217.jpg,normal,ADT45,60,8,0
104707.jpg,dead_heart,ADT45,70,5,0
108039.jpg,bacterial_leaf_blight,ADT45,72,0,0
104934.jpg,blast,KarnatakaPonni,50,3,0
105877.jpg,hispa,ADT45,50,7,0
109187.jpg,tungro,ADT45,67,9,0
104216.jpg,bacterial_panicle_blight,ADT45,67,2,0
103108.jpg,tungro,ADT45,60,9,0
107153.jpg,downy_mildew,KarnatakaPonni,70,6,0
108306.jpg,hispa,ADT45,50,7,0
105878.jpg,bacterial_leaf_blight,ADT45,72,0,0
103928.jpg,bacterial_leaf_streak,ADT45,68,1,0
109360.jpg,bacterial_leaf_blight,ADT45,55,0,0
105174.jpg,bacterial_leaf_streak,ADT45,60,1,0
108882.jpg,normal,ADT45,57,8,0
109727.jpg,brown_spot,ADT45,50,4,0
104906.jpg,normal,ADT45,60,8,0
105821.jpg,normal,ADT45,80,8,0
105463.jpg,tungro,ADT45,70,9,0
110353.jpg,normal,ADT45,60,8,0
101841.jpg,normal,ADT45,60,8,0
103335.jpg,hispa,AndraPonni,65,7,0
104630.jpg,bacterial_panicle_blight,ADT45,75,2,0
106496.jpg,bacterial_leaf_streak,Zonal,70,1,0
106771.jpg,dead_heart,ADT45,70,5,0
107320.jpg,brown_spot,KarnatakaPonni,75,4,0
109229.jpg,hispa,Zonal,70,7,0
104160.jpg,bacterial_panicle_blight,ADT45,73,2,0
107445.jpg,bacterial_panicle_blight,ADT45,67,2,0
104414.jpg,bacterial_panicle_blight,Ponni,80,2,0
108693.jpg,normal,ADT45,70,8,0
104055.jpg,bacterial_leaf_blight,ADT45,72,0,0
107819.jpg,blast,ADT45,50,3,0
108404.jpg,dead_heart,ADT45,72,5,0
104057.jpg,dead_heart,ADT45,75,5,0
109521.jpg,normal,ADT45,60,8,0
100533.jpg,hispa,AtchayaPonni,65,7,0
104279.jpg,tungro,ADT45,70,9,0
109687.jpg,blast,ADT45,70,3,0
109030.jpg,hispa,Onthanel,70,7,0
105961.jpg,dead_heart,ADT45,67,5,0
108595.jpg,blast,ADT45,50,3,0
107154.jpg,downy_mildew,AtchayaPonni,45,6,0
102081.jpg,hispa,Ponni,60,7,0
104105.jpg,dead_heart,ADT45,70,5,0
102868.jpg,hispa,Ponni,60,7,0
103299.jpg,dead_heart,ADT45,67,5,0
100615.jpg,brown_spot,ADT45,55,4,0
103067.jpg,tungro,ADT45,57,9,0
108901.jpg,dead_heart,ADT45,67,5,0
104394.jpg,downy_mildew,AtchayaPonni,45,6,0
102432.jpg,blast,KarnatakaPonni,75,3,0
107197.jpg,hispa,ADT45,70,7,0
100782.jpg,dead_heart,ADT45,80,5,0
105048.jpg,dead_heart,ADT45,75,5,0
101988.jpg,blast,ADT45,70,3,0
109525.jpg,hispa,ADT45,65,7,0
108074.jpg,dead_heart,ADT45,70,5,0
104315.jpg,blast,Ponni,55,3,0
105942.jpg,normal,ADT45,60,8,0
100249.jpg,dead_heart,KarnatakaPonni,75,5,0
104253.jpg,downy_mildew,KarnatakaPonni,50,6,0
106742.jpg,bacterial_panicle_blight,ADT45,70,2,0
104952.jpg,brown_spot,KarnatakaPonni,50,4,0
107237.jpg,blast,Zonal,55,3,0
107002.jpg,blast,KarnatakaPonni,75,3,0
100202.jpg,blast,ADT45,70,3,0
102823.jpg,downy_mildew,ADT45,70,6,0
107588.jpg,tungro,AtchayaPonni,57,9,0
101847.jpg,tungro,Onthanel,70,9,0
108369.jpg,bacterial_panicle_blight,Ponni,80,2,0
108748.jpg,bacterial_leaf_blight,ADT45,50,0,0
100599.jpg,downy_mildew,ADT45,60,6,0
103534.jpg,tungro,AtchayaPonni,57,9,0
106745.jpg,downy_mildew,ADT45,70,6,0
101154.jpg,blast,ADT45,70,3,0
109610.jpg,blast,KarnatakaPonni,75,3,0
107047.jpg,dead_heart,ADT45,70,5,0
107093.jpg,brown_spot,KarnatakaPonni,75,4,0
108071.jpg,bacterial_leaf_streak,ADT45,60,1,0
100965.jpg,hispa,Onthanel,70,7,0
100740.jpg,hispa,ADT45,50,7,0
109617.jpg,tungro,AtchayaPonni,57,9,0
107791.jpg,hispa,Ponni,60,7,0
110195.jpg,hispa,ADT45,50,7,0
106545.jpg,bacterial_leaf_blight,ADT45,72,0,0
104723.jpg,hispa,ADT45,65,7,0
109201.jpg,hispa,AtchayaPonni,65,7,0
110350.jpg,normal,ADT45,67,8,0
110012.jpg,normal,ADT45,70,8,0
104205.jpg,dead_heart,ADT45,70,5,0
102666.jpg,dead_heart,ADT45,67,5,0
102409.jpg,bacterial_panicle_blight,ADT45,70,2,0
104413.jpg,blast,KarnatakaPonni,75,3,0
105541.jpg,blast,Zonal,70,3,0
102481.jpg,hispa,AtchayaPonni,65,7,0
102905.jpg,dead_heart,ADT45,80,5,0
107557.jpg,normal,ADT45,70,8,0
100359.jpg,blast,ADT45,60,3,0
104902.jpg,dead_heart,Ponni,80,5,0
106164.jpg,dead_heart,ADT45,70,5,0
107803.jpg,blast,AndraPonni,45,3,0
110086.jpg,blast,KarnatakaPonni,75,3,0
103348.jpg,hispa,ADT45,50,7,0
107711.jpg,tungro,ADT45,67,9,0
105630.jpg,downy_mildew,Surya,45,6,0
102913.jpg,bacterial_panicle_blight,Ponni,80,2,0
100408.jpg,tungro,ADT45,70,9,0
106694.jpg,normal,ADT45,65,8,0
105866.jpg,normal,ADT45,70,8,0
107868.jpg,dead_heart,ADT45,70,5,0
108743.jpg,blast,KarnatakaPonni,75,3,0
103177.jpg,bacterial_leaf_blight,Zonal,70,0,0
101932.jpg,hispa,ADT45,50,7,0
104852.jpg,brown_spot,ADT45,70,4,0
109698.jpg,brown_spot,ADT45,50,4,0
102107.jpg,normal,ADT45,60,8,0
104250.jpg,brown_spot,ADT45,70,4,0
102957.jpg,bacterial_leaf_streak,Zonal,70,1,0
101978.jpg,tungro,ADT45,57,9,0
108317.jpg,hispa,ADT45,60,7,0
103180.jpg,dead_heart,Onthanel,70,5,0
101582.jpg,dead_heart,ADT45,72,5,0
105884.jpg,dead_heart,ADT45,67,5,0
109290.jpg,dead_heart,ADT45,65,5,0
108588.jpg,downy_mildew,KarnatakaPonni,70,6,0
104695.jpg,brown_spot,ADT45,50,4,0
108326.jpg,dead_heart,ADT45,70,5,0
107076.jpg,blast,AndraPonni,45,3,0
104972.jpg,brown_spot,ADT45,70,4,0
106544.jpg,hispa,KarnatakaPonni,50,7,0
106898.jpg,tungro,ADT45,70,9,0
101136.jpg,dead_heart,Onthanel,50,5,0
110224.jpg,dead_heart,ADT45,70,5,0
102210.jpg,dead_heart,ADT45,70,5,0
102541.jpg,downy_mildew,Zonal,55,6,0
110342.jpg,bacterial_panicle_blight,Ponni,80,2,0
108189.jpg,hispa,ADT45,68,7,0
107221.jpg,brown_spot,ADT45,50,4,0
107088.jpg,brown_spot,ADT45,70,4,0
105529.jpg,hispa,ADT45,57,7,0
107763.jpg,dead_heart,ADT45,65,5,0
110360.jpg,blast,ADT45,60,3,0
107606.jpg,tungro,ADT45,70,9,0
106079.jpg,brown_spot,ADT45,70,4,0
100322.jpg,normal,ADT45,65,8,0
103409.jpg,tungro,ADT45,60,9,0
102582.jpg,bacterial_leaf_blight,ADT45,72,0,0
101361.jpg,downy_mildew,ADT45,60,6,0
108956.jpg,blast,ADT45,50,3,0
101432.jpg,bacterial_panicle_blight,ADT45,70,2,0
100093.jpg,brown_spot,ADT45,68,4,0
102106.jpg,bacterial_leaf_blight,ADT45,72,0,0
104982.jpg,normal,ADT45,60,8,0
108409.jpg,brown_spot,ADT45,72,4,0
102956.jpg,brown_spot,ADT45,70,4,0
107449.jpg,tungro,AtchayaPonni,57,9,0
108669.jpg,blast,ADT45,70,3,0
105100.jpg,bacterial_panicle_blight,ADT45,75,2,0
103041.jpg,brown_spot,ADT45,72,4,0
108417.jpg,tungro,AtchayaPonni,50,9,0
102174.jpg,normal,ADT45,60,8,0
102467.jpg,downy_mildew,ADT45,70,6,0
109662.jpg,tungro,ADT45,72,9,0
107310.jpg,downy_mildew,ADT45,68,6,0
107750.jpg,normal,Ponni,60,8,0
101159.jpg,normal,ADT45,67,8,0
105381.jpg,downy_mildew,ADT45,60,6,0
107148.jpg,tungro,ADT45,70,9,0
100677.jpg,tungro,ADT45,70,9,0
107213.jpg,normal,ADT45,60,8,0
103068.jpg,bacterial_panicle_blight,ADT45,77,2,0
102378.jpg,blast,AtchayaPonni,50,3,0
104563.jpg,bacterial_leaf_streak,Zonal,70,1,0
100561.jpg,blast,ADT45,67,3,0
100047.jpg,dead_heart,ADT45,70,5,0
103951.jpg,hispa,ADT45,50,7,0
101615.jpg,hispa,AndraPonni,65,7,0
105489.jpg,dead_heart,Onthanel,50,5,0
103676.jpg,normal,ADT45,50,8,0
104396.jpg,normal,ADT45,60,8,0
108159.jpg,downy_mildew,Onthanel,70,6,0
108438.jpg,normal,ADT45,50,8,0
